name,city,state,address,pincode,lat,lng,url,description,categories,tags
Pushpa Gujral Science City,Kapurthala,Punjab,Jalandhar-Kapurthala Road,,31.3702,75.4068,https://pgsciencecity.org,"A massive science complex covering biotechnology, robotics, and space exploration.","Science, Education","ncsm, government, stem"
Vikram A Sarabhai Community Science Centre,Ahmedabad,Gujarat,"Navrangpura, Ahmedabad",,23.0365,72.5611,https://vascsc.org,A community science centre promoting scientific temper among students and the public.,"Science, Community, Education","stem, free-entry"
Manaskhand Science Centre,Almora,Uttarakhand,"Syunrakot, Sunara Kot, Almora",263601,29.6885,79.6663,https://ncsm.gov.in,A centre focusing on the ecology and science of the Himalayan region.,"Science, Education","ncsm, government"
Goa Science Centre,Panaji,Goa,"Marine Drive, Miramar, Panaji",403001,15.4964,73.8178,https://sciencecentregoa.org,Focuses on oceanography and environmental sciences relevant to the coastal region.,"Science, Education","ncsm, government"
Regional Science Centre,Guwahati,Assam,"Jawaharnagar, Khanapara, Jawahar Nagar, Guwahati",781022,26.1179,91.821,https://rscguwahati.gov.in,The primary science education hub for the North Eastern states.,"Science, Education","ncsm, government, stem"
Raman Science Centre & Planetarium,Nagpur,Maharashtra,"Opp. Gandhi Sagar, Nagpur",,21.1477,79.1003,https://nehrusciencecentre.gov.in,Focused on promoting scientific literacy in Central India through interactive exhibits.,"Science, Education","ncsm, government, planetarium"
Nagaland Science Centre,Dimapur,Nagaland,"Behind Super Market, Half Nagarjan, Dimapur",797112,25.9061,93.7386,https://ncsm.gov.in,A key centre for the promotion of science and technology in Nagaland.,"Science, Education","ncsm, government"
Sikkim Science Centre,Gangtok,Sikkim,"Marchak, East Sikkim",737101,27.284,88.5931,https://ncsm.gov.in,Focuses on high-altitude ecology and physical sciences for the Himalayas.,"Science, Education","ncsm, government"
Pilikula Science Centre,Mangaluru,Karnataka,"Vamanjoor, Mangaluru",,12.919,74.9033,https://ncsm.gov.in,"Integrated within a biological park, focusing on biodiversity and physical science.","Science, Education","ncsm, government"
Science City,Kolkata,West Bengal,"JBS Haldane Avenue, Kolkata",,22.5413,88.3841,https://sciencecitykolkata.org.in,Major public science centre in the NCSM network with exhibitions and science-learning programming.,"Science, Education","ncsm, government, stem"
ShriKrishna Science Centre,Patna,Bihar,Patna,,25.5941,85.1376,https://sksciencecentre.org,Public science centre in the NCSM network.,"Science, Education","ncsm, government"
North Bengal Science Centre,Siliguri,West Bengal,Siliguri,,26.7271,88.3953,https://nbscsiliguri.org,Regional public science centre under NCSM.,"Science, Education","ncsm, government"
Bardhaman Science Centre,Bardhaman,West Bengal,Bardhaman,,23.2333,87.8646,https://bardhamansciencecentre.org,District-level public science centre in the NCSM network.,"Science, Education","ncsm, government"
District Science Centre Purulia,Purulia,West Bengal,Purulia,,23.2483,86.4997,https://dscpurulia.org,Public science centre serving local learning and exhibition functions.,"Science, Education","ncsm, government"
Digha Science Centre,Digha,West Bengal,Digha,,21.6222,87.5066,https://dighasciencecentre.org,Coastal public science centre in the NCSM network.,"Science, Education","ncsm, government"
Central Research and Training Laboratory,Kolkata,West Bengal,Kolkata,,22.5744,88.3629,https://crtl.in,"NCSM's research and training hub; more institutional than public, but part of the national science-centre ecosystem.",Science,"ncsm, government, institutional"
Regional Science Centre,Bhubaneswar,Odisha,Bhubaneswar,,20.296,85.8246,https://rscbhubaneswar.org,Public science centre under NCSM.,"Science, Education","ncsm, government"
Dhenkanal Science Centre & Kapilas Science Park,Dhenkanal,Odisha,Dhenkanal,,20.6584,85.5965,https://dhenkanalsciencecentre.org,"Public science-learning centre in the NCSM system, with the adjoining Kapilas Science Park.","Science, Education","ncsm, government"
Regional Science Centre,Bhopal,Madhya Pradesh,Bhopal,,23.2599,77.4126,https://rscbhopal.gov.in,Regional public science centre under NCSM.,"Science, Education","ncsm, government"
District Science Centre Dharampur,Dharampur,Gujarat,Dharampur,396050,20.5436,73.1821,https://dscdharampur.org.in,District science centre in the NCSM network.,"Science, Education","ncsm, government"
Kurukshetra Panorama and Science Centre,Kurukshetra,Haryana,Kurukshetra,,29.9695,76.8783,https://kpsc.nscd.gov.in,Panorama-plus-science centre combining heritage interpretation and science education.,"Science, Culture, Education","ncsm, government"
Palampur Science Centre,Palampur,Himachal Pradesh,Palampur,,32.1109,76.5363,https://nscd.gov.in,Public science centre in Himachal Pradesh within the NCSM system.,"Science, Education","ncsm, government"
Regional Science Centre,Tirupati,Andhra Pradesh,Tirupati,,13.6288,79.4192,https://rsctirupati.org.in,Regional science centre serving the wider region.,"Science, Education","ncsm, government"
District Science Centre,Kalaburagi,Karnataka,Kalaburagi,,17.3297,76.8343,https://sciencecentrekalaburagi.org.in,District science centre in Karnataka under NCSM.,"Science, Education","ncsm, government"
District Science Centre,Tirunelveli,Tamil Nadu,Tirunelveli,,8.715,77.7656,https://dsctirunelveli.org.in,Public district science centre in south Tamil Nadu.,"Science, Education","ncsm, government"
Regional Science Centre & Planetarium,Kozhikode,Kerala,Kozhikode,,11.2488,75.7839,https://rscpcalicut.edu.in,Regional science centre and planetarium under NCSM.,"Science, Education","ncsm, government, planetarium"
"Innovation Hub, Periyar Science & Technology Centre",Chennai,Tamil Nadu,"Periyar Science and Technology Centre, Surya Nagar, Kotturpuram, Chennai",600025,13.0127,80.2438,https://tnstc.gov.in,"Public innovation hub inside the Tamil Nadu Science and Technology Centre network, focused on hands-on problem solving and science learning.","Science, Innovation, Education","government, stem"
ParSEC Jayanagar,Bengaluru,Karnataka,"4, 31st Cross, 16th Main, 4th Block, Jayanagar, Bengaluru",560011,12.9278,77.5909,https://paramfoundation.org,"Immersive science gallery and living lab for hands-on learning, exhibits, workshops, and public engagement.","Science, Education",stem
T-Works,Hyderabad,Telangana,"Plot 1/D, 1/E, 1/F, Survey No. 83/1, Raidurgam, Ranga Reddy District, Bhagyalaxmi Nagar, Hyderabad",500081,17.5043,78.4604,https://tworks.telangana.gov.in,"Government-backed open-for-all prototyping centre designed to reduce barriers to hardware building and support innovators, students, startups, and makers.","Makerspace, Innovation",government
T-Hub,Hyderabad,Telangana,"Plot No 1/C, Sy No 83/1, Raidurgam Panmaktha, Hyderabad Knowledge City, Serilingampally, Prashant Hills",500081,17.4214,78.3814,https://t-hub.co,"Large innovation hub for startups, open innovation, community events, and entrepreneurial ecosystem building.","Innovation, Community",
Samagata Space,Bengaluru,Karnataka,"4th Floor, Cobalt Building (above Church Street Social), Shanthala Nagar, Bengaluru",560001,12.9756,77.6027,https://samagata.org/space,"Non-profit community venue for meetups, workshops, and cross-disciplinary conversations spanning social sector, academia, science, arts, technology, and culture.","Community, Culture",free-entry
Bangalore International Centre,Bengaluru,Karnataka,"7, 4th Main Road, Domlur II Stage, Saraswathipura, Bengaluru",560071,13.0095,77.5398,https://bangaloreinternationalcentre.org,"Non-profit public institution for dialogue, culture, talks, screenings, and performances; many programmes are free and open to non-members.","Culture, Community","free-entry, film"
Jaaga,Bengaluru,Karnataka,Bengaluru,,12.9629,77.5775,https://jaaga.in,"Collaborative community platform working across arts research, public arts, tech-arts, and urban/community issues.","Arts, Community, Innovation",
Bangalore Makespace,Bengaluru,Karnataka,"Bengaluru, Karnataka (pop-up / distributed model)",,12.9629,77.5775,https://bangaloremakespace.org,"Community of makers running open workshops and activities around electronics, robotics, fabrication, and open-source creativity.","Makerspace, Education, Community",stem
Dhi Artspace,Hyderabad,Telangana,"7-1-54/2/C, Sri Guru Krupa, Near Kanya Gurukul School, Opp. Servo Towers, Dharam Karan Road, Ameerpet, Hyderabad",500016,17.4383,78.4518,https://dhiart.com,"Contemporary art space fostering exhibitions, discussion, mentorship, and cultural dialogue in Hyderabad.","Arts, Culture",
Dhi Contemporary,Hyderabad,Telangana,"Bodhi House, Plot No 552, Road No 11, Kakatiya Hills, Madhapur, Hyderabad",500081,17.4475,78.3977,https://dhiart.com,"Sister initiative of Dhi Artspace focused on younger artistic talent through exhibitions, performances, screenings, and commissions.","Arts, Culture","youth, film"
The Makerspace Initiative,Hyderabad,Telangana,Hyderabad,,17.4065,78.4772,https://themakerspaceinitiative.com,Community-oriented makerspace initiative for learning and making.,"Makerspace, Education, Community",
SPACE @ ICCI,Kochi,Kerala,"ICCI, Chullickal, Kochi",682002,9.9467,76.2535,https://iccicochin.com/space,"Dedicated art, culture, and events platform created by ICCI as part of its culture-and-community focus.","Arts, Culture, Community",
Chavara Cultural Centre,Kochi,Kerala,Kochi,,9.9312,76.2673,https://chavaraculturalcentre.com,"Long-running cultural institution described as a secular space where art, faith, culture, and community come together.","Culture, Community",
Pune International Centre,Pune,Maharashtra,"SN 34/A, Behind C-DAC, Panchavati, Pashan, N.C.L, Pune",411008,18.5296,73.8126,https://puneinternationalcentre.org,"Public-facing centre for intellectual exchange, culture, dialogue, and interdisciplinary programming with auditorium, amphitheatre, library, and art gallery.","Culture, Community",outdoor-venue
Raah — A Literacy & Cultural Centre,Pune,Maharashtra,"Office No. 730, 7th/8th Floor, Marvel Vista, Above PNG Brothers, Lullanagar Junction, Pune",411040,18.4858,73.8885,https://raah.org.in,"Community platform for artistic and intellectual expression, literacy, events, and neighbourhood engagement.","Culture, Community, Education",literature
IDAM — The Art & Cultural Space,Chennai,Tamil Nadu,"7, Viswanathapuram 2nd Street, Kodambakkam, Viswanatha Puram, Chennai",600024,13.0482,80.2258,https://idamthespace.com,"Intimate art and cultural space for classes, workshops, performances, and community-oriented creative learning.","Arts, Culture, Community",
Lila Arts Centre,Chennai,Tamil Nadu,"5/6, Thirumalai Pillai Road, Satyamurthy Nagar, T. Nagar, Chennai",600017,13.0495,80.2403,https://lilaartscentre.com,"Performance space and studio for dance, music, theatre, classes, and shared practice.","Performing Arts, Culture, Education",studios
IFBE,Mumbai,Maharashtra,"10–12, Calicut Road, Ballard Estate, Fort, Mumbai",400001,18.9354,72.8375,https://ifbe.space,"Repurposed ice-factory cultural centre for architecture, design, art, dialogue, and community-building.","Arts, Culture, Community",heritage-building
India Habitat Centre,New Delhi,Delhi,"Lodhi Road, New Delhi",110003,28.5911,77.228,https://indiahabitat.org,"One of Delhi's major cultural hubs with regular programmes in music, theatre, film, talks, poetry, book launches, and exhibitions. Includes multiple performance venues such as the Stein Auditorium.","Culture, Performing Arts","film, literature, outdoor-venue"
India International Centre,New Delhi,Delhi,"40, Max Mueller Marg, Lodhi Gardens, New Delhi",110003,28.5924,77.2228,https://iicdelhi.in,"Premier cultural and intellectual institution where public lectures, seminars, conferences, and arts programmes are open to the wider city.","Culture, Community",membership-required
Kolkata Centre for Creativity,Kolkata,West Bengal,"777, Anandapur EM Bypass, Sector I, Kolkata",700107,22.5132,88.4028,https://kolkatacentreforcreativity.org,"Non-profit creativity centre with library, conservation lab, gallery store, talks, workshops, performances, and interdisciplinary arts programming.","Arts, Culture, Library",
TRI Art & Culture,Kolkata,West Bengal,"53/2/2 Hazra Road, Ballygunge, Kolkata",700019,22.5268,88.365,https://triartandculture.com,"Nonprofit multidisciplinary centre with free public galleries, performances, public programmes, and exhibitions spanning visual, performing, literary, and research practices.","Arts, Culture, Performing Arts",free-entry
Hutheesing Visual Art Centre,Ahmedabad,Gujarat,"Kasturbhai Lalbhai Campus, Navrangpura, Ahmedabad",380009,23.0377,72.5497,,Visual-arts venue used for exhibitions and artistic programming on the CEPT/KL campus.,"Arts, Culture",
Goethe-Institut / Max Mueller Bhavan Bengaluru,Bengaluru,Karnataka,"716, CMH Road, Indiranagar 1st Stage, Bengaluru",560038,12.9784,77.6446,https://goethe.de/bangalore,"Cultural institute with library, courses, screenings, exhibitions, workshops, and collaborations in art, science, and media.","Culture, Arts, Library","goethe-institut, film"
Goethe-Institut / Max Mueller Bhavan Chennai,Chennai,Tamil Nadu,"No. 4, 5th Street, Rutland Gate, Thousand Lights West, Chennai",600006,13.0592,80.2521,https://goethe.de/chennai,"Cultural institute with library, courses, and programmes across film, new media, arts, theatre, dance, music, literature, and architecture.","Culture, Arts, Library","goethe-institut, film"
Goethe-Institut / Max Mueller Bhavan Mumbai,Mumbai,Maharashtra,"CSMVS, 159–161, Mahatma Gandhi Road, Fort, Kala Ghoda, Mumbai",400023,18.9269,72.8316,https://goethe.de/mumbai,"Cultural institute with gallery, library, courses, and interdisciplinary programmes in art, cinema, theatre, dance, and literature.","Culture, Arts, Library","goethe-institut, film"
Goethe-Institut / Max Mueller Bhavan New Delhi,New Delhi,Delhi,"3, Kasturba Gandhi Marg, Vakil Lane, New Delhi",110001,28.6239,77.2243,https://goethe.de/delhi,"Cultural institute with library, language programmes, and public cultural cooperation activities.","Culture, Library",goethe-institut
Goethe-Institut / Max Mueller Bhavan Kolkata,Kolkata,West Bengal,"Park Mansions, Gate 4, 57A, Park Street, Taltala, Kolkata",700016,22.5525,88.3533,https://goethe.de/kolkata,"Cultural institute with library, exhibitions, courses, and ongoing cultural exchange programming.","Culture, Arts, Library",goethe-institut
Goethe-Institut / Max Mueller Bhavan Pune,Pune,Maharashtra,Pune,,18.5246,73.8786,https://goethe.de/ins/in/en/sta/pun.html,"German cultural institute with library, courses, events, and cultural programming.","Culture, Library",goethe-institut
Alliance Française de Bombay,Mumbai,Maharashtra,Mumbai,,18.9582,72.8321,https://bombay.afindia.org,"Official French cultural centre in Mumbai with film screenings, classes, library/media resources, and cultural programming.","Culture, Library","alliance-francaise, film"
Alliance Française de Delhi,New Delhi,Delhi,"K.K. Birla Lane, 72, Lodi Estate, Lodhi Gardens, New Delhi",110003,28.5921,77.2225,https://afdelhi.org,"Indo-French cultural centre with screenings, performances, exhibitions, classes, and a long-standing public cultural programme.","Culture, Performing Arts","alliance-francaise, film"
Alliance Française d'Ahmedabad,Ahmedabad,Gujarat,"B/S Food Corporation of India, Himali Tower Lane, Manekbaug-Shyamal Road, Satellite, Ahmedabad",380015,23.0133,72.5308,https://ahmedabad.afindia.org,Official French cultural centre and language institute; part of the public-facing Alliance network in India.,"Culture, Library, Community","alliance-francaise, film"
Alliance Française Baroda Branch,Vadodara,Gujarat,"Skip Floor-2, B Wing, Blue Diamond Complex, Behind Fatehgunj Petrol Pump, Vadodara",390002,22.3244,73.1888,https://ahmedabad.afindia.org,Vadodara branch of Alliance Française d'Ahmedabad; public cultural and language centre.,"Culture, Community",alliance-francaise
Alliance Française de Bhopal,Bhopal,Madhya Pradesh,Bhopal,,23.2599,77.4126,https://bhopal.afindia.org,"Non-profit French cultural centre with library, events, screenings, exhibitions, and cultural partnerships.","Culture, Library","alliance-francaise, film"
Alliance Française d'Indore,Indore,Madhya Pradesh,Indore,,22.7196,75.8577,https://bhopal.afindia.org,Branch of Alliance Française de Bhopal serving Indore with courses and cultural activities.,"Culture, Community",alliance-francaise
Alliance Française de Chandigarh,Chandigarh,Chandigarh,,,30.7333,76.7794,https://afindia.org/about,Official Alliance Française centre in Chandigarh.,"Culture, Community",alliance-francaise
Alliance Française of Madras,Chennai,Tamil Nadu,Chennai,,13.0843,80.2705,https://afindia.org/about,Official Alliance Française centre in Chennai.,"Culture, Community",alliance-francaise
Alliance Française de Goa,Panaji,Goa,,,15.501,73.8294,https://afindia.org/about,Official Alliance Française centre in Goa.,"Culture, Community",alliance-francaise
Alliance Française d'Hyderabad,Hyderabad,Telangana,Hyderabad,,17.4065,78.4772,https://afindia.org/about,Official Alliance Française centre in Hyderabad.,"Culture, Community",alliance-francaise
Alliance Française de Jaipur,Jaipur,Rajasthan,Jaipur,,26.9124,75.7873,https://afindia.org/about,Official Alliance Française centre in Jaipur.,"Culture, Community",alliance-francaise
Alliance Française Udaipur Branch,Udaipur,Rajasthan,Udaipur,,24.5854,73.7125,https://afindia.org/about,Branch of Alliance Française under the Jaipur centre.,"Culture, Community",alliance-francaise
Alliance Française du Bengale,Kolkata,West Bengal,Kolkata,,22.5744,88.3629,https://bengale.afindia.org,Official French cultural centre serving Kolkata and surrounding region.,"Culture, Library, Community","alliance-francaise, film"
Alliance Française Bhubaneswar Branch,Bhubaneswar,Odisha,Bhubaneswar,,20.296,85.8246,https://bengale.afindia.org,Branch of Alliance Française under the Bengale centre.,"Culture, Community",alliance-francaise
Alliance Française de Pondichéry,Puducherry,Puducherry,,,11.9416,79.8083,https://afindia.org/about,Official Alliance Française centre in Puducherry.,"Culture, Community",alliance-francaise
Alliance Française de Karikal,Karaikal,Puducherry,Karaikal,,10.9254,79.838,https://afindia.org/about,Official Alliance Française centre in Karaikal.,"Culture, Community",alliance-francaise
Alliance Française de Pune,Pune,Maharashtra,Pune,,18.5246,73.8786,https://afindia.org/about,Official Alliance Française centre in Pune.,"Culture, Community",alliance-francaise
Alliance Française de Trivandrum,Thiruvananthapuram,Kerala,Thiruvananthapuram,,8.5241,76.9366,https://trivandrum.afindia.org,"Non-profit French cultural centre with regular screenings, concerts, exhibitions, and workshops.","Culture, Community","alliance-francaise, film"
Alliance Française Kochi Annex,Kochi,Kerala,Kochi,,9.9312,76.2673,https://trivandrum.afindia.org,Annex centre under Alliance Française de Trivandrum.,"Culture, Community",alliance-francaise
Alliance Française de Bangalore,Bengaluru,Karnataka,"Thimmaiah Road, Kaverappa Layout, Vasanth Nagar, Bengaluru",560001,12.9928,77.5964,https://bangalore.afindia.org,"Official French centre with auditorium, gallery, media centre, classes, and cultural events.","Culture, Arts, Library","alliance-francaise, film"
Alliance Française de Mahe,Mahe,Puducherry,"Mahé, Mahe",673310,11.7002,75.5343,https://afindia.org/about,Official Alliance Française centre in Mahe.,"Culture, Community",alliance-francaise
British Council Library,New Delhi,Delhi,"17 Kasturba Gandhi Marg, Janpath, Connaught Place, New Delhi",110001,28.627,77.2224,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Kolkata,West Bengal,"16 Camac Street, Kankaria Estates, Kolkata",700016,22.5494,88.3539,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Chennai,Tamil Nadu,"737 Anna Salai, Chennai",600006,13.0594,80.2578,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Bengaluru,Karnataka,"23, 1st Cross, Kasturba Road, Shanthala Nagar, Bengaluru",560001,12.9735,77.5981,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Mumbai,Maharashtra,"Mittal Tower, Nariman Point, Mumbai",400005,18.9252,72.8248,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Ahmedabad,Gujarat,"Amrapali Lakeview Tower, Vastrapur, Ahmedabad",380054,23.0398,72.5294,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
British Council Library,Chandigarh,Chandigarh,"Elante Office, Industrial Area Phase 1",160002,30.704,76.8015,https://www.britishcouncil.in,Public library and cultural programming venue operated by the British Council.,"Library, Culture","british-council, membership-required"
